"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
"1",2,9,4.07017126601826,0.600114013347187,2.97987691726177,3.135871032061,3.65095490160956,4.04071556894133,4.45729375357489,5.1049587658965,5.32781352947715,2020-03-06
"2",3,10,3.73242554771964,0.485920417374625,2.84129526023899,2.9707035181196,3.39421030836683,3.71135970879485,4.04768557546731,4.56601130051301,4.74324544670358,2020-03-07
"3",4,11,2.96324947163581,0.359346781370887,2.30107916286936,2.39796688506601,2.7136144438612,2.94873646557183,3.19706899201549,3.57804095902247,3.70788058035014,2020-03-08
"4",5,12,2.68354832934363,0.291071683831502,2.14352309230863,2.22338655658028,2.48191311956196,2.67303197874726,2.87372257387801,3.17958447714176,3.28332819305689,2020-03-09
"5",6,13,2.85100020099675,0.262455842066063,2.35984822313946,2.43346449176221,2.66986260319373,2.84295058516664,3.02336445349705,3.29599505667784,3.38789256644768,2020-03-10
"6",7,14,2.74442335904854,0.226356223588139,2.31871199076167,2.38301249140143,2.5885471757285,2.73820269177818,2.89351931501484,3.12705421235475,3.20548321937794,2020-03-11
"7",8,15,2.76390789696942,0.198950443785729,2.38770816522212,2.44500500636269,2.62724350848738,2.75913577667074,2.89537070467784,3.09908934230611,3.16722541568201,2020-03-12
"8",9,16,2.78476508769635,0.175423711470941,2.45152421291011,2.50263641938171,2.66452186254794,2.78108240345691,2.90099409519758,3.07945597068755,3.13893330236986,2020-03-13
"9",10,17,2.81548527860881,0.154753066669758,2.52030991932254,2.56586584511631,2.70961821188046,2.81265045417439,2.918262246798,3.07477469622174,3.12677009576887,2020-03-14
"10",11,18,2.92432584135925,0.138161409442077,2.6597690235574,2.70084158588859,2.82998945795125,2.92215029172347,3.01629072406287,3.15523117167529,3.20124577944076,2020-03-15
"11",12,19,2.86539419243748,0.119391424684895,2.63613809023474,2.67188133120045,2.78398761787148,2.86373614891206,2.9449933628359,3.06456283519503,3.10407261253141,2020-03-16
"12",13,20,2.54692418259086,0.0980311574949602,2.35838504787425,2.38785073014737,2.48013551789458,2.54566655273242,2.6123419187882,2.71028755276285,2.74261019030621,2020-03-17
"13",14,21,2.27487227619589,0.0814013300501709,2.11810510273014,2.14265528876878,2.21945153670336,2.27390142703371,2.32923469865069,2.41040093649613,2.43715661615549,2020-03-18
"14",15,22,2.11874468292936,0.0701971430537629,1.98337671126243,2.00461791137714,2.07098435956637,2.11796948834233,2.16565996752471,2.23551572565265,2.25851796044096,2020-03-19
"15",16,23,2.01368626756022,0.0619962725080433,1.89399362410031,1.91280807569364,1.97153086189164,2.01305006752236,2.05514814981247,2.11673460372248,2.13699434010597,2020-03-20
"16",17,24,1.82740026492565,0.0539810558219547,1.72311766424736,1.73952507619671,1.79070667580128,1.8268687623833,1.86351446063254,1.91708846322898,1.93470331745228,2020-03-21
"17",18,25,1.61151015088537,0.0467546516024898,1.52116420991953,1.53538446348643,1.57973300329925,1.6110580101049,1.64279441732427,1.68917813651887,1.70442554332162,2020-03-22
"18",19,26,1.42041274487205,0.0410379966223225,1.34110856679932,1.35359199901618,1.39252183366397,1.4200175466354,1.44787284824108,1.48858155209905,1.50196277827208,2020-03-23
"19",20,27,1.27599930199434,0.0369273611148007,1.20464046038344,1.21587279655047,1.25090181610642,1.27564309430208,1.30070848388242,1.33734086811528,1.349382421147,2020-03-24
"20",21,28,1.21901107134352,0.0347580252423294,1.15183008840267,1.16240816245391,1.19539055246304,1.2186807319603,1.24227148520424,1.27674080133301,1.28806932649511,2020-03-25
"21",22,29,1.15902979782517,0.0329807951999582,1.09528205625875,1.10531997620102,1.13661736439019,1.15871698428471,1.18110123124427,1.21380665810595,1.22455521477919,2020-03-26
"22",23,30,1.09207877252199,0.0313432929719762,1.03150346666502,1.04104010519096,1.07077777889662,1.0917789302791,1.11305290633299,1.14414023217471,1.15435803940356,2020-03-27
"23",24,31,1.02181998378873,0.0298604222303177,0.964125455168271,0.973205028598082,1.00152403172225,1.02152913031371,1.04179887497669,1.07142706985736,1.081167390906,2020-03-28
"24",25,32,0.964015170697372,0.0287541618422707,0.908474735127042,0.917211373932665,0.944468104651413,0.963729297527262,0.98325060518375,1.01179411019258,1.02118018167368,2020-03-29
"25",26,33,0.954321908287113,0.0285540889087363,0.899170476518948,0.907845320582281,0.934910387247711,0.954037136200302,0.973422998103398,1.00176988284238,1.01109165805182,2020-03-30
"26",27,34,0.921254050772829,0.028137273873478,0.866924428601702,0.875466048237745,0.902122840114131,0.920967607020565,0.940073008196146,0.968019142571547,0.977211489996249,2020-03-31
"27",28,35,0.985179159856306,0.0292555784188261,0.92866651623844,0.937556959100176,0.965291903347018,0.984889586763734,1.0047507514463,1.03378912411806,1.04333740516155,2020-04-01
"28",29,36,0.98402523561864,0.0294165131525459,0.927207302035315,0.936144450696851,0.964027562113554,0.983732124773463,1.00370338777374,1.03290585174422,1.04250887517281,2020-04-02
"29",30,37,0.977605546914781,0.0293958548048761,0.920832444311684,0.929761374927218,0.957621019673376,0.977310925712335,0.997268906439138,1.02645470214472,1.03605293840525,2020-04-03
"30",31,38,0.984458229901084,0.0295618440013037,0.927363395605042,0.936343198766611,0.96436106596128,0.984162346039288,1.00423284967535,1.03358255132611,1.04323452864358,2020-04-04
"31",32,39,0.978238896145592,0.0295353154176581,0.921199929549127,0.930169850135459,0.95815892423173,0.97794166550606,0.997994855841664,1.02732182649558,1.03696698051746,2020-04-05
"32",33,40,1.04678477993292,0.0306161194662431,0.987630870285525,0.996939937913338,1.02597505145344,1.0464863106716,1.06726914553703,1.09764773106228,1.10763484746477,2020-04-06
"33",34,41,1.04773134021,0.0306438042425989,0.988523940349355,0.99784142574728,1.02690279443137,1.04743260105638,1.06823422890229,1.09864028441266,1.1086364317142,2020-04-07
"34",35,42,1.0852156851054,0.0310696346831318,1.02516716154635,1.0346213637038,1.06410105382297,1.08491919249421,1.10600710799599,1.13682137287377,1.1469491342926,2020-04-08
"35",36,43,1.02109391936891,0.029967435558398,0.963196227689714,0.972306921116764,1.00072457439699,1.0208007692728,1.04114369995928,1.07088088254603,1.08065754075746,2020-04-09
"36",37,44,1.07346809562717,0.0305337331669082,1.0144498817755,1.02374315503369,1.05271864938886,1.07317860894603,1.09390197060137,1.12418050459508,1.13413142161688,2020-04-10
"37",38,45,1.08574479565454,0.0305752638184227,1.02663801866438,1.03594720010849,1.06496864063297,1.08545780285582,1.10620809789052,1.13652135260813,1.14648251273017,2020-04-11
"38",39,46,1.11261235917359,0.0307285830086446,1.05319325370238,1.06255540069373,1.09173493514016,1.11232948044149,1.13318141497297,1.163634245413,1.17363902567789,2020-04-12
"39",40,47,1.1498096524132,0.0309518353835527,1.08993814850202,1.09937647947449,1.12878433477788,1.14953193254247,1.1705322252554,1.20119015552979,1.21125940101718,2020-04-13
"40",41,48,1.13710118830929,0.0304120382249295,1.07826878188956,1.08754450395288,1.11644347597289,1.13683007410434,1.15746335667992,1.18758267021406,1.19747430049304,2020-04-14
"41",42,49,1.16218617273194,0.030312170610756,1.1035277406706,1.11278058746057,1.14159981822369,1.16192264907875,1.18248525756361,1.21249066326031,1.22234217513039,2020-04-15
"42",43,50,1.1587318759272,0.0298289752912324,1.10099882318254,1.1101079918301,1.13847545499819,1.15847592577016,1.17870928300503,1.20822883125684,1.21791946014765,2020-04-16
"43",44,51,1.15666875701819,0.029332143989771,1.09988655069927,1.10884824286898,1.13675170053407,1.15642082032637,1.17631553508538,1.20533500759363,1.21485995568098,2020-04-17
"44",45,52,1.13989592872881,0.0286590614023388,1.08441074690994,1.09316914607485,1.1204370004033,1.13965575738027,1.1590930436526,1.1874419594131,1.19674597363342,2020-04-18
"45",46,53,1.14946172036766,0.0283407645291658,1.0945796093983,1.10324593402519,1.13022132793073,1.14922880845214,1.16844821284472,1.19647199200252,1.20566744039777,2020-04-19
"46",47,54,1.22082678211161,0.0287831596424018,1.16505830250946,1.17387162716254,1.20129150771611,1.22060058486132,1.24011547597811,1.26855351776571,1.27788071302412,2020-04-20
"47",48,55,1.19317935492444,0.0279762423066381,1.13897083575666,1.14753845693522,1.17419237894236,1.19296071089369,1.21192798420481,1.23956606883245,1.24863040147574,2020-04-21
