"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
"1",2,7,4.93264317852931,0.752221032686594,3.5697783264076,3.76390947869009,4.40662375908302,4.89445877882247,5.41705974729827,6.23164288531808,6.51244246459443,2020-03-09
"2",3,8,5.51357057631963,0.64531462539928,4.32175919395469,4.49676230412375,5.06569020811244,5.48841499453539,5.9340370630367,6.61619282100694,6.84831417372886,2020-03-10
"3",4,9,4.13753253698399,0.441062450414817,3.31842208321673,3.43974560147155,3.83212094105893,4.12187066293409,4.42587529296415,4.88874663528636,5.04563529051026,2020-03-11
"4",5,10,3.18521555151861,0.309375483375052,2.60779350924593,2.69398512451099,2.97144771854489,3.17520476938062,3.38807279560236,3.71059529771468,3.81952123555725,2020-03-12
"5",6,11,2.81792674452131,0.244345237356308,2.35939117602257,2.42841532934255,2.64949665747104,2.81086742686464,2.97866264633755,3.23151904512346,3.31657601012944,2020-03-13
"6",7,12,2.52727175185377,0.20042568703483,2.14970908935952,2.2068813989933,2.38935491734839,2.52197546742111,2.65941582149589,2.86572878076825,2.93493036405638,2020-03-14
"7",8,13,2.17094477976226,0.163641119887549,1.86205204968339,1.90897187169435,2.05844451970428,2.16683452918476,2.27896494592622,2.44693852312008,2.50319404413963,2020-03-15
"8",9,14,1.90432506902516,0.137432823903279,1.6444753239138,1.6840457286277,1.8099145678017,1.9010199714622,1.99513303722804,2.13587868914133,2.18295617238093,2020-03-16
"9",10,15,1.87473259014515,0.124705356893127,1.6382637775667,1.67443362297693,1.78918118560546,1.87196822403338,1.9572707992442,2.08446126687697,2.12691018754139,2020-03-17
"10",11,16,1.81995523479128,0.113747202174455,1.6038227682798,1.63698572440077,1.74199717185649,1.8175860507446,1.89533082425233,2.01100640168374,2.04955091333907,2020-03-18
"11",12,17,1.80930628470445,0.105341884596822,1.60870904943575,1.6395905505409,1.73718403676122,1.80726228201132,1.87920048826102,1.98599441234526,2.0215189205764,2020-03-19
"12",13,18,1.84629432265502,0.099114272329706,1.65712151048636,1.68634632817149,1.7785113110846,1.84452104821876,1.91214437120772,2.0122912008144,2.04554413991049,2020-03-20
"13",14,19,1.79931069780647,0.0911116388641696,1.62514431479242,1.65211376381668,1.73704742266603,1.79777305930879,1.85989785298689,1.95175272013842,1.98221507027651,2020-03-21
"14",15,20,1.57067868418771,0.0792302588405019,1.41920961497479,1.44266788982522,1.51653742423749,1.56934667263018,1.62336796944107,1.70323314573399,1.72971722167805,2020-03-22
"15",16,21,1.53613152659714,0.0734831362992834,1.39546498893922,1.41729369282713,1.48594998320435,1.53495996058198,1.58503598308971,1.65896572132194,1.68345578468478,2020-03-23
"16",17,22,1.44302911751016,0.0675760298579633,1.31360483318583,1.33370438488421,1.39689309878261,1.44197440885578,1.48801542924387,1.55595159396367,1.57844705796865,2020-03-24
"17",18,23,1.35577225463862,0.062470687928082,1.23608071524854,1.25467941741136,1.31312978608159,1.35481287633375,1.39736893129585,1.46013765069944,1.4809157154885,2020-03-25
"18",19,24,1.17673910810722,0.0559085622518381,1.0696975420514,1.08631242426459,1.13856230718043,1.17585379466235,1.21395085626139,1.27018570842835,1.28881169387985,2020-03-26
"19",20,25,1.0501009738478,0.0512396808490699,0.952061718325773,0.967264372798483,1.0151011226819,1.04926767806793,1.08419247774092,1.13578005434427,1.15287563800996,2020-03-27
"20",21,26,0.982433688295843,0.0487573652867023,0.889183151927214,0.903634019782165,0.949122517130714,0.98162721032826,1.01486574707557,1.06398435840995,1.08026722971174,2020-03-28
