"","dates","cases"
"1",2020-02-22,1
"2",2020-02-23,0
"3",2020-02-24,0
"4",2020-02-25,0
"5",2020-02-26,0
"6",2020-02-27,0
"7",2020-02-28,1
"8",2020-02-29,0
"9",2020-03-01,0
"10",2020-03-02,0
"11",2020-03-03,0
"12",2020-03-04,0
"13",2020-03-05,0
"14",2020-03-06,0
"15",2020-03-07,0
"16",2020-03-08,0
"17",2020-03-09,1
"18",2020-03-10,0
"19",2020-03-11,1
"20",2020-03-12,1
"21",2020-03-13,1
"22",2020-03-14,0
"23",2020-03-15,0
"24",2020-03-16,0
"25",2020-03-17,2
"26",2020-03-18,1
"27",2020-03-19,4
"28",2020-03-20,4
"29",2020-03-21,0
"30",2020-03-22,1
"31",2020-03-23,1
"32",2020-03-24,0
"33",2020-03-25,0
"34",2020-03-26,1
"35",2020-03-27,0
"36",2020-03-28,0
"37",2020-03-29,1
