"","dates","cases"
"1",2020-02-17,1
"2",2020-02-18,0
"3",2020-02-19,0
"4",2020-02-20,1
"5",2020-02-21,0
"6",2020-02-22,0
"7",2020-02-23,1
"8",2020-02-24,0
"9",2020-02-25,0
"10",2020-02-26,0
"11",2020-02-27,0
"12",2020-02-28,0
"13",2020-02-29,0
"14",2020-03-01,0
"15",2020-03-02,0
"16",2020-03-03,0
"17",2020-03-04,1
"18",2020-03-05,0
"19",2020-03-06,0
"20",2020-03-07,0
"21",2020-03-08,0
"22",2020-03-09,1
"23",2020-03-10,3
"24",2020-03-11,1
"25",2020-03-12,4
"26",2020-03-13,0
"27",2020-03-14,3
"28",2020-03-15,0
"29",2020-03-16,3
"30",2020-03-17,2
"31",2020-03-18,3
"32",2020-03-19,4
"33",2020-03-20,6
"34",2020-03-21,6
"35",2020-03-22,1
"36",2020-03-23,2
"37",2020-03-24,3
"38",2020-03-25,3
"39",2020-03-26,1
"40",2020-03-27,6
"41",2020-03-28,1
"42",2020-03-29,0
"43",2020-03-30,0
"44",2020-03-31,3
"45",2020-04-01,3
"46",2020-04-02,1
"47",2020-04-03,2
"48",2020-04-04,1
"49",2020-04-05,3
"50",2020-04-06,1
"51",2020-04-07,1
"52",2020-04-08,0
"53",2020-04-09,0
"54",2020-04-10,2
"55",2020-04-11,2
