"","dates","fits.l","fits.u","fit"
"38",2020-03-25,0,544.988716650059,264.241357668579
"39",2020-03-26,0,643.276533035041,306.011434709099
"40",2020-03-27,0,759.290395032691,354.384336346667
"41",2020-03-28,0,896.227165739769,410.403807188624
"42",2020-03-29,0,1057.86025724105,475.278582262603
"43",2020-03-30,0,1248.64361026859,550.408467954903
"44",2020-03-31,0,1473.83442642115,637.414545705484
"45",2020-04-01,0,1739.63803493689,738.174150166269
"46",2020-04-02,0,2053.37888594977,854.86137654829
"47",2020-04-03,0,2423.70238209772,989.993991186811
"48",2020-04-04,0,2860.81311012849,1146.48775751612
"49",2020-04-05,0,3376.75603718291,1327.71934964837
"50",2020-04-06,0,3985.74842036398,1537.59921104599
"51",2020-04-07,0,4704.57157564962,1780.65593036315
"52",2020-04-08,0,5553.03330168269,2062.13395503791
"53",2020-04-09,0,6554.51370092908,2388.10675100667
"54",2020-04-10,0,7736.60943878164,2765.60785019361
"55",2020-04-11,0,9131.89419373109,3202.78261339379
"56",2020-04-12,0,10778.8162534714,3709.0639831455
"57",2020-04-13,0,12722.7579909824,4295.37601882057
"58",2020-04-14,0,15017.2864153777,4974.36960562001
"59",2020-04-15,0,17725.6292575344,5760.69542338006
