"","dates","fits.l","fits.u","fit"
"30",2020-03-17,0,216.91007728188,87.4838421109059
"31",2020-03-18,0,259.510969440439,101.545054349694
"32",2020-03-19,0,310.478628304571,117.866314671116
"33",2020-03-20,0,371.456277327083,136.810878906112
"34",2020-03-21,0,444.409867175593,158.80038872251
"35",2020-03-22,0,531.691458989993,184.324255936738
"36",2020-03-23,0,636.115056039497,213.950555158912
"37",2020-03-24,0,761.047328630772,248.338667204587
"38",2020-03-25,0,910.516157284716,288.253954672581
"39",2020-03-26,0,1089.34049366953,334.584796317404
"40",2020-03-27,0,1303.28572607319,388.362359343573
"41",2020-03-28,0,1559.24955847773,450.78354968594
